750_102, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,2096,2096,2097,2098,2101,2106,1,2096,2096,2097,2101,2109,1,,,,,,,,,,,,
4,1048,1054,1069,1078,1087,1123,1,1048,1052,1056,1059,1075,1,,,,,,,,,,,,
8,524,571,593,605,628,691,1,530,535,538,543,562,1,,,,,,,,,,,,
16,295,350,371,387,404,444,1,309,315,318,322,330,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 750//tmp/750/rand0102.stg
# Precedence constraints generator : layrpred
#   Random Seed       : 2681
#   Tasks             : 750 (+dummy tasks : 2)
#   Layers            : 75
#   Max. Layer Width  : 17
#   Min. Layer Width  : 3
#   Ave. Layer Width  : 10.000000
#   Edges             : 9015 / 277122 (+dummy edges : 74)
#   Max. Predecessors : 35
#   Min. Predecessors : 0
#   Ave. Predecessors : 12.000000 (Real : 12.020000)
# Task processing time generator : expoproc
#   Random Seed       : 2680
#   Max. Proc. Time   : 46
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 5.000000 (Real : 5.588000)
# CP Length           : 295
# Parallelism         : 14.206779
